Reward,Target,Level,Status,Qty
"$10,000",mpboii,Level: 71,Okay,Qty: 10
"$1,500,000",JJ-,Level: 64,Hospital,Qty: 3
"$1,100,000",STONEMOUNTAIN,Level: 55,Hospital,Qty: 13
"$1,000,000",Cartel,Level: 100,Hospital,Qty: 13
"$1,000,000",Wargasm,Level: 100,Hospital,Qty: 10
"$1,000,000",Nugzy,Level: 71,Hospital,Qty: 4
"$1,000,000",Frog,Level: 25,Traveling,Qty: 2
"$1,000,000",Xander410,Level: 21,Hospital,Qty: 2
"$1,000,000",DeviousHellion,Level: 20,Abroad,Qty: 1
"$750,000",bVFksdLEp,Level: 100,Okay,Qty: 2
"$750,000",Cum1ord,Level: 34,Hospital,Qty: 1
"$744,742",Mysteria,Level: 100,Okay,Qty: 9
"$650,000",ScrubMD,Level: 100,Traveling,Qty: 1
"$650,000",Shooby,Level: 100,Hospital,Qty: 7
"$601,000",JDM,Level: 50,Traveling,Qty: 1
"$600,000",Acepac,Level: 100,Hospital,Qty: 1
"$600,000",Rob84,Level: 90,Hospital,Qty: 1
"$550,666",SoNamii,Level: 18,Traveling,Qty: 83
"$500,000",Rat,Level: 99,Okay,Qty: 1
"$500,000",YuriAntunes,Level: 30,Hospital,Qty: 1
"$500,000",Collete,Level: 100,Traveling,Qty: 6
"$500,000",Reilly,Level: 100,Traveling,Qty: 9
"$500,000",Skjold,Level: 100,Okay,Qty: 7
"$500,000",Someone,Level: 100,Okay,Qty: 5
"$500,000",Violation,Level: 100,Okay,Qty: 7
"$500,000",Heisenberg,Level: 98,Okay,Qty: 5
"$500,000",Oya,Level: 95,Okay,Qty: 4
"$500,000",DarkZeros,Level: 73,Hospital,Qty: 2
"$500,000",Brickleul,Level: 55,Hospital,Qty: 2
"$500,000",Nuggie,Level: 45,Hospital,Qty: 1
"$500,000",Diab_low,Level: 42,Traveling,Qty: 2
"$500,000",Catalystic,Level: 37,Hospital,Qty: 3
"$500,000",Esdeath,Level: 28,Hospital,Qty: 1
"$500,000",PerroViejo,Level: 25,Traveling,Qty: 4
"$500,000",Ceq,Level: 21,Hospital,Qty: 5
"$500,000",killerbeelks,Level: 20,Hospital,Qty: 7
"$450,000",DCLXVI,Level: 100,Hospital,Qty: 1
"$450,000",masky,Level: 99,Okay,Qty: 10
"$444,666",Sarkov,Level: 100,Okay,Qty: 9
"$420,690",Magic,Level: 100,Hospital,Qty: 10
"$401,000",die_opfer,Level: 95,Okay,Qty: 1
"$400,111",Studsen,Level: 90,Okay,Qty: 1
"$400,111",Pawsy,Level: 88,Okay,Qty: 1
"$400,001",Ant,Level: 79,Traveling,Qty: 1
"$400,000",Amran123,Level: 100,Okay,Qty: 10
"$400,000",Sandymfc,Level: 100,Hospital,Qty: 1
"$400,000",Perico85,Level: 97,Traveling,Qty: 1
"$400,000",Evolution-XXV,Level: 96,Okay,Qty: 8
"$400,000",Office_Viking,Level: 90,Hospital,Qty: 2
"$400,000",MQJunior,Level: 63,Hospital,Qty: 3
"$400,000",KevinTorn,Level: 46,Hospital,Qty: 1
"$400,000",Specificchain,Level: 46,Hospital,Qty: 1
"$400,000",Kokuren,Level: 35,Hospital,Qty: 1
"$400,000",Ganja-Dar,Level: 30,Hospital,Qty: 1
"$365,000",Rustytr0mbone11,Level: 86,Traveling,Qty: 1
"$355,555",tHeR0TT3nEgg,Level: 100,Traveling,Qty: 6
"$355,000",Cael,Level: 86,Hospital,Qty: 1
"$350,129",Carlosbc01,Level: 80,Hospital,Qty: 1
"$350,000",Vash_TS,Level: 33,Traveling,Qty: 1
"$350,000",AlexHardingo,Level: 32,Traveling,Qty: 1
"$350,000",MrRightSA,Level: 100,Hospital,Qty: 1
"$350,000",Skitzweasel,Level: 83,Hospital,Qty: 1
"$345,000",Defectus,Level: 100,Okay,Qty: 2
"$333,333",Cuzzi,Level: 18,Hospital,Qty: 16
"$301,000",Salix,Level: 57,Abroad,Qty: 2
"$301,000",_RoadRage_,Level: 39,Hospital,Qty: 2
"$301,000",205_nation,Level: 18,Hospital,Qty: 3
"$301,000",Nightninja4895,Level: 16,Hospital,Qty: 5
"$300,000",Mansquatch,Level: 100,Okay,Qty: 8
"$300,000",Viola_,Level: 93,Hospital,Qty: 1
"$300,000",RedDragon-mm,Level: 88,Hospital,Qty: 8
"$300,000",popeye420,Level: 74,Hospital,Qty: 1
"$300,000",TorkiLadd,Level: 40,Traveling,Qty: 1
"$300,000",neogenesis49,Level: 32,Abroad,Qty: 6
"$300,000",WooBH,Level: 30,Hospital,Qty: 1
"$300,000",airhead9722,Level: 28,Hospital,Qty: 1
"$300,000",Learbih,Level: 26,Hospital,Qty: 3
"$300,000",Tozak,Level: 22,Abroad,Qty: 1
"$300,000",Narya55,Level: 19,Traveling,Qty: 1
"$300,000",WaldoQT,Level: 18,Traveling,Qty: 1
"$300,000",Jia,Level: 41,Okay,Qty: 3
"$251,000",rhcp,Level: 69,Hospital,Qty: 13
"$250,001",benji111,Level: 39,Hospital,Qty: 1
"$250,000",Andyman,Level: 100,Okay,Qty: 11
"$250,000",CARR,Level: 100,Okay,Qty: 1
"$250,000",JCinNC,Level: 100,Okay,Qty: 19
"$250,000",Hyperreal,Level: 95,Okay,Qty: 129
"$250,000",MtecTheGreat,Level: 58,Hospital,Qty: 1
"$250,000",Cole_McGrath,Level: 51,Hospital,Qty: 1
"$250,000",Neeny,Level: 46,Hospital,Qty: 1
"$250,000",Cgamer8604,Level: 45,Traveling,Qty: 2
"$250,000",Dtg420,Level: 45,Hospital,Qty: 1
